feature,mean_correct,mean_incorrect,spearman_rho_vs_trace,perm_p_vs_trace,spearman_rho_vs_cmaj,perm_p_vs_cmaj
mean_entropy,0.4875,0.66898,-0.4743,0.3862,-0.4082,0.5669
min_entropy,0.00031,0.0038,-0.7906,0.0971,-0.4082,0.5677
max_entropy,2.93246,3.41311,-0.4743,0.3907,-0.4082,0.5757
std_entropy,0.64498,0.83348,-0.4743,0.3907,-0.4082,0.5669
sb0_entropy_mean,0.74741,1.29856,-0.6325,0.1981,-0.2041,0.862
sb1_entropy_mean,0.59798,0.59964,-0.1581,0.8657,-0.4082,0.5669
sb2_entropy_mean,0.53333,0.64128,-0.1581,0.8657,-0.4082,0.5669
sb3_entropy_mean,0.07127,0.13642,-0.6325,0.1972,-0.2041,0.862
sb0_entropy_min,0.01915,0.05108,-0.6325,0.1998,-0.2041,0.862
sb0_entropy_max,2.93246,3.33213,-0.4743,0.3907,-0.2041,0.862
mean_topk_entropy,0.30051,0.38581,-0.4743,0.3862,-0.4082,0.5669
sb0_topk_entropy_mean,0.45179,0.70612,-0.6325,0.1962,-0.6124,0.2807
mechanism_diversity,1.0,1.0,nan,nan,nan,nan
wallclock_total_ms,5489.2,5533.5,-0.3162,0.5676,-0.4082,0.5677
wallclock_max_ms,1529.6,1487.5,-0.4743,0.3755,-0.4082,0.5677
commit_lora_fraction,0.75,0.75,nan,nan,nan,nan
tokens_committed_total,128.0,128.0,nan,nan,nan,nan
